date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:37	27174/27174	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Jan%202019%2020:04:35%20GMT	https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254	C:/My%20Web%20Sites/2/solidor.glazingvault.com/design755b.html	(from )
01:04:38	144/144	---M-Z	200	added ('OK')	text/plain	etag:%22b6bf25c67a8d21:0%22	https://solidor.glazingvault.com/robots.txt		(from )
01:04:38	168/168	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:04:37%20GMT	http://solidor.glazingvault.com/css/app.css	C:/My%20Web%20Sites/2/solidor.glazingvault.com/css/app.1.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:04:39	53722/53722	---M-Z	200	added ('OK')	text/css	etag:%22809d4bd14afd31:0%22	https://solidor.glazingvault.com//css/app.css	C:/My%20Web%20Sites/2/solidor.glazingvault.com/css/app.css	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:04:39	176/176	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:04:38%20GMT	http://solidor.glazingvault.com/dist/sweetalert.css	C:/My%20Web%20Sites/2/solidor.glazingvault.com/dist/sweetalert.3.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:04:40	23922/23922	---M-Z	200	added ('OK')	text/css	etag:%220ffa75b67a8d21:0%22	https://solidor.glazingvault.com//dist/sweetalert.css	C:/My%20Web%20Sites/2/solidor.glazingvault.com/dist/sweetalert.css	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:04:44	284394/284394	---M-Z	200	added ('OK')	application/javascript	etag:W/%22553fb36a-456ea%22	http://code.jquery.com/jquery-1.11.3.js	C:/My%20Web%20Sites/2/code.jquery.com/jquery-1.11.3.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:02	173/173	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:00%20GMT	http://solidor.glazingvault.com/js/designer.2.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/designer.2.7.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:03	79967/79967	---M-Z	200	added ('OK')	application/javascript	etag:%220267c337390d41:0%22	https://solidor.glazingvault.com//js/designer.2.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/designer.2.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:04	179/179	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:01%20GMT	http://solidor.glazingvault.com/dist/sweetalert.min.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/dist/sweetalert.min.9.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:05	16977/16977	---M-Z	200	added ('OK')	application/javascript	etag:%220ffa75b67a8d21:0%22	https://solidor.glazingvault.com//dist/sweetalert.min.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/dist/sweetalert.min.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:06	170/170	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:03%20GMT	http://solidor.glazingvault.com/js/joyride.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/joyride.b.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:07	31100/31100	---M-Z	200	added ('OK')	application/javascript	etag:%220ffa75b67a8d21:0%22	https://solidor.glazingvault.com//js/joyride.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/joyride.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:08	28931/28931	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.2/css/font-awesome.min.css	C:/My%20Web%20Sites/2/maxcdn.bootstrapcdn.com/font-awesome/4.6.2/css/font-awesome.min.css	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:08	172/172	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:07%20GMT	http://solidor.glazingvault.com/js/fastclick.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/fastclick.e.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:09	25479/25479	---M-Z	200	added ('OK')	application/javascript	etag:%220ffa75b67a8d21:0%22	https://solidor.glazingvault.com//js/fastclick.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/fastclick.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:09	170/170	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:08%20GMT	http://solidor.glazingvault.com/js/ddslick.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/ddslick.10.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:10	7149/7149	---M-Z	200	added ('OK')	application/javascript	etag:%220ffa75b67a8d21:0%22	https://solidor.glazingvault.com//js/ddslick.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/ddslick.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:12	253668/253668	---M-Z	200	added ('OK')	application/javascript	etag:W/%2257d97c08-3dee4%22	https://code.jquery.com/ui/1.12.1/jquery-ui.min.js	C:/My%20Web%20Sites/2/code.jquery.com/ui/1.12.1/jquery-ui.min.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:13	180/180	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:12%20GMT	http://solidor.glazingvault.com/js/vendor_visualiser.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/vendor_visualiser.14.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:13	1291/1291	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-50b%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui-touch-punch/0.2.3/jquery.ui.touch-punch.min.js	C:/My%20Web%20Sites/2/cdnjs.cloudflare.com/ajax/libs/jqueryui-touch-punch/0.2.3/jquery.ui.touch-punch.min.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:14	6811/6811	---M-Z	200	added ('OK')	application/javascript	etag:%220d2afb46589d31:0%22	https://solidor.glazingvault.com//js/vendor_visualiser.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/vendor_visualiser.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:14	181/181	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:13%20GMT	http://solidor.glazingvault.com/js/solidor_visualiser.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/solidor_visualiser.16.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:15	7356/7356	---M-Z	200	added ('OK')	application/javascript	etag:%2205d32a6090d31:0%22	https://solidor.glazingvault.com//js/solidor_visualiser.js	C:/My%20Web%20Sites/2/solidor.glazingvault.com/js/solidor_visualiser.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:16	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:14%20GMT	http://solidor.glazingvault.com/images/solidor.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/solidor.19.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:17	43710/43710	---MC-	200	added ('OK')	text/javascript	date:Mon,%2005%20Nov%202018%2021:10:09%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/2/www.google-analytics.com/analytics.js	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:17	3939/3939	---M--	200	added ('OK')	image/png	etag:%22eff6ea5b67a8d21:0%22	https://solidor.glazingvault.com//images/solidor.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/solidor.png	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:18	172/172	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:16%20GMT	http://solidor.glazingvault.com/images/ajax.gif	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/ajax.1b.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:19	25434/25434	---M--	200	added ('OK')	image/gif	etag:%227d9cdc5b67a8d21:0%22	https://solidor.glazingvault.com//images/ajax.gif	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/ajax.gif	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:19	176/176	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:17%20GMT	http://solidor.glazingvault.com/images/mob-door.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/mob-door.1d.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:20	820/820	---M--	200	added ('OK')	image/png	etag:%226587e85b67a8d21:0%22	https://solidor.glazingvault.com//images/mob-door.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/mob-door.png	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:20	181/181	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:18%20GMT	http://solidor.glazingvault.com/images/mob-hamburger.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/mob-hamburger.1f.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:21	348/348	---M--	200	added ('OK')	image/png	etag:%226587e85b67a8d21:0%22	https://solidor.glazingvault.com//images/mob-hamburger.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/mob-hamburger.png	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:22	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:20%20GMT	http://solidor.glazingvault.com/images/greenarrow.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/greenarrow.21.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:22	402/402	---M--	200	added ('OK')	image/png	etag:%22d35ee15b67a8d21:0%22	https://solidor.glazingvault.com//images/greenarrow.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/greenarrow.png	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:23	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:21%20GMT	http://solidor.glazingvault.com/images/timbercore.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/timbercore.23.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:24	27597/27597	---M--	200	added ('OK')	image/jpeg	etag:%22eff6ea5b67a8d21:0%22	https://solidor.glazingvault.com//images/timbercore.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/timbercore.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:24	172/172	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:22%20GMT	http://solidor.glazingvault.com/images/lock.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/lock.25.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:25	23493/23493	---M--	200	added ('OK')	image/png	etag:%226587e85b67a8d21:0%22	https://solidor.glazingvault.com//images/lock.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/lock.png	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:26	172/172	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:23%20GMT	http://solidor.glazingvault.com/images/logo.png	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/logo.27.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:47	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:45%20GMT	http://solidor.glazingvault.com/images/banners/colours.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/colours.29.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:48	188/188	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Jan%202019%2020:05:47%20GMT	http://solidor.glazingvault.com/images/banners/framecolours.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/framecolours.2b.delayed	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
01:05:48	45760/45760	---M--	200	added ('OK')	image/jpeg	etag:%220fdde5b67a8d21:0%22	https://solidor.glazingvault.com//images/banners/colours.jpg	C:/My%20Web%20Sites/2/solidor.glazingvault.com/images/banners/colours.jpg	(from https://solidor.glazingvault.com/design?sid=cf2ab3fe91b090d3eb0af40f4058b32a6844a254)
